entry,name,body_size,called_functions,callers
"0x800137e8","FUN_800137e8","1260","FUN_80011860;FUN_8001366c;FUN_8004729c","FUN_80019bfc"
"0x80013cd4","FUN_80013cd4","1248","FUN_80011860;FUN_8001366c;FUN_8004729c","FUN_80019bfc"
"0x800141b4","FUN_800141b4","292","FUN_8007a998;FUN_8007acb8;FUN_8007b0a4","FUN_800158a4;FUN_80018670;FUN_80018e40"
"0x800142d8","FUN_800142d8","612","FUN_8001ca54;FUN_8001cd14;FUN_8001ebc8;FUN_80029c58;FUN_8004738c;FUN_8007e5d0;FUN_8007f580",""
"0x8001453c","FUN_8001453c","84","",""
"0x80014590","FUN_80014590","84","",""
"0x800145e4","FUN_800145e4","340","FUN_80011a48;FUN_80011c1c;FUN_8001cb6c;FUN_8007d254;FUN_8007df30",""
"0x80014738","FUN_80014738","404","FUN_8001cb6c;FUN_8007a998",""
"0x800148cc","FUN_800148cc","428","FUN_80011a48;FUN_80011c1c;FUN_8007d254;FUN_8007df30",""
"0x80014a78","FUN_80014a78","508","FUN_80011860;FUN_8001194c;FUN_8001cb6c;FUN_8007b4a4;FUN_8007bd68",""
"0x80014c74","FUN_80014c74","1460","FUN_80011860;FUN_8001194c;FUN_80011a48;FUN_80011c1c;FUN_8007d254;FUN_8007df30;FUN_8007e9ac",""
"0x80015228","FUN_80015228","328","FUN_8001cb6c",""
"0x80015370","FUN_80015370","340","FUN_80011a48;FUN_80011c1c;FUN_80011e70;FUN_8007d254;FUN_8007df30",""
"0x80015530","FUN_80015530","136","FUN_80011a48;FUN_8007d254",""
"0x80015624","FUN_80015624","292","FUN_8001cb6c",""
"0x80015748","FUN_80015748","348","FUN_80011a48;FUN_80011c1c;FUN_80011e70;FUN_8007d254;FUN_8007df30",""
"0x800158a4","FUN_800158a4","696","FUN_80011f10;FUN_80012d04;FUN_800141b4;FUN_8006101c;FUN_8007d254;FUN_8008793c",""
"0x80015b5c","FUN_80015b5c","552","FUN_8001cb6c",""
"0x80015d84","FUN_80015d84","460","FUN_80011814;FUN_80011a48;FUN_80011c1c;FUN_80011d44;FUN_80011dc8;FUN_80012170;FUN_80012600;FUN_800127a0;FUN_8006101c",""
"0x80015f90","FUN_80015f90","424","FUN_80011814;FUN_80011c1c;FUN_80011c88;FUN_800129b4;FUN_8007df30;FUN_8007f580",""
"0x80016138","FUN_80016138","88","","FUN_80016440;FUN_8001695c;FUN_80016bb4;FUN_80016cd0;FUN_80016dc8"
"0x80016190","FUN_80016190","88","FUN_8007a998;FUN_8007b0a4","FUN_80016510;FUN_8001695c;FUN_80016bb4;FUN_80016cd0;FUN_80016dc8;FUN_80018670"
"0x800161e8","FUN_800161e8","24","","FUN_80016200;FUN_80016320"
"0x80016200","FUN_80016200","288","FUN_800161e8;FUN_8007d254","FUN_80016510;FUN_80016bb4"
"0x80016320","FUN_80016320","288","FUN_800161e8;FUN_8007d254","FUN_80016510;FUN_80016cd0"
"0x80016440","FUN_80016440","208","FUN_80016138;FUN_8001cb6c",""
"0x80016510","FUN_80016510","816","FUN_80012fe4;FUN_80016190;FUN_80016200;FUN_80016320;FUN_8002ab68;FUN_8007d254",""
"0x80016840","FUN_80016840","284","FUN_8001cb6c",""
