final_psx_address,beta_psx_address,repo_function,file,line,markers,comment
0x80016eec,0x80016db8,lara_as_monkey180,GAME/LARA.C,3804,<;<;F,"16DB8(<), 16EEC(<) (F)"
0x80016f10,0x80016ddc,lara_col_monkey180,GAME/LARA.C,3799,F,"16DDC, 16F10 (F)"
0x80016f30,0x80016dfc,lara_col_polestat,GAME/LARA.C,3723,F,"16DFC, 16F30 (F)"
0x80017154,0x80017020,lara_as_poleleft,GAME/LARA.C,3713,<;<;F,"17020(<), 17154(<) (F)"
0x800171b0,0x8001707c,lara_as_poleright,GAME/LARA.C,3703,<;<;F,"1707C(<), 171B0(<) (F)"
0x8001720c,0x800170d8,lara_col_poleup,GAME/LARA.C,3682,<;<;F,"170D8(<), 1720C(<) (F)"
0x800172d4,0x800171a0,lara_col_poledown,GAME/LARA.C,3621,F,"171A0, 172D4 (F)"
0x800174c8,0x80017394,FallFromRope,GAME/LARA.C,3603,F,"17394, 174C8 (F)"
0x80017558,0x80017424,JumpOffRope,GAME/LARA.C,3561,F,"17424, 17558 (F)"
0x8001763c,0x80017508,UpdateRopeSwing,GAME/LARA.C,3556,,"17508, 1763C"
0x80017a18,0x800178e4,ApplyVelocityToRope,GAME/LARA.C,3548,F,"178E4, 17A18 (F)"
0x80017a8c,0x80017958,lara_as_rope,GAME/LARA.C,3539,<;<;F,"17958(<), 17A8C(<) (F)"
0x80017adc,0x800179a8,lara_col_rope,GAME/LARA.C,3500,F,"179A8, 17ADC (F)"
0x80017be8,0x80017ab4,lara_as_ropel,GAME/LARA.C,3481,<;<;F,"17AB4(<), 17BE8(<) (F)"
0x80017c48,0x80017b14,lara_as_roper,GAME/LARA.C,3462,<;<;F,"17B14(<), 17C48(<) (F)"
0x80017ca8,0x80017b74,lara_col_ropefwd,GAME/LARA.C,3404,F,"17B74, 17CA8 (F)"
0x80017ed0,0x80017d9c,lara_as_climbrope,GAME/LARA.C,3382,<;<;F,"17D9C(<), 17ED0(<) (F)"
0x80017f98,0x80017e64,lara_as_climbroped,GAME/LARA.C,3377,F,"17E64, 17F98 (F)"
0x80017fc8,0x80017e94,lara_as_stop,GAME/LARA.C,3200,F,"17E94, 17FC8 (F)"
