priority_rank,bucket,score,final_psx_address,beta_psx_address,repo_function,file,line,status,markers,mapping_status,ghidra_entry,ghidra_name,body_size,caller_count,callee_count,runtime_focus,nd,reason,next_step
19,P0,2171,0x8005f4f8,0x8005e79c,init_game_malloc,SPEC_PSXPC_N/MALLOC.C,25,debugged,D;F;ND,mapped,0x8005f4f8,FUN_8005f4f8,76,3,1,no,yes,marqué ND; adresse Ghidra disponible; 3 caller(s); 1 callee(s); body_size 76,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
20,P0,2132,0x8005f1c8,0x8005df68,GPU_UseOrderingTables,SPEC_PSXPC_N/GPU.C,32,debugged,D;ND,mapped,0x8005f1c8,FUN_8005f1c8,72,3,0,no,yes,marqué ND; adresse Ghidra disponible; 3 caller(s); body_size 72,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
21,P0,2084,0x80055f5c,0x80055af8,sgSaveGame,GAME/SAVEGAME.C,63,decompiled,,mapped,0x80055f5c,FUN_80055f5c,144,0,4,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 4 callee(s); body_size 144; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
22,P0,2052,0x800600a8,0x8005f3c8,GPU_FlipToBuffer,SPEC_PSXPC_N/MISC.C,398,debugged,D;F;ND,mapped,0x800600a8,FUN_800600a8,92,1,4,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); 4 callee(s); body_size 92,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
23,P0,2025,0x8005ffb0,0x8005f2d0,GPU_ClearVRAM,SPEC_PSXPC_N/MISC.C,326,debugged,D;F;ND,mapped,0x8005ffb0,FUN_8005ffb0,100,1,3,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); 3 callee(s); body_size 100,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
24,P0,1991,0x8005f4f8,0x8005e79c,init_game_malloc,SPEC_PSX/MALLOC.C,25,debugged,D;F;ND,mapped,0x8005f4f8,FUN_8005f4f8,76,3,1,no,yes,marqué ND; adresse Ghidra disponible; 3 caller(s); 1 callee(s); body_size 76,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
25,P0,1914,0x80094128,0x800920dc,SOUND_Init,GAME/SOUND.C,37,debugged,D;F;ND,mapped,0x80094128,FUN_80094128,44,1,0,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); body_size 44,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
26,P0,1879,0x80060014,0x8005f334,clear_a_rect,SPEC_PSXPC_N/MISC.C,352,debugged,D;F;ND,mapped,0x80060014,FUN_80060014,24,1,1,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 24,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
27,P0,1876,0x8005f590,0x8005e85c,game_free,SPEC_PSXPC_N/MALLOC.C,82,debugged,D;F;ND,mapped,0x8005f590,FUN_8005f590,56,1,0,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); body_size 56,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
28,P0,1745,0x8005dc78,0x8005d7fc,CDDA_SetVolume,SPEC_PSXPC/CD.C,65,decompiled,,mapped,0x8005dc78,FUN_8005dc78,60,1,1,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 60; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
29,P0,1737,0x80060d20,0x800600e4,ReloadAnims,SPEC_PSXPC/ROOMLOAD.C,29,decompiled,,mapped,0x80060d20,FUN_80060d20,52,1,1,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 52; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
30,P0,1696,0x8005f590,0x8005e85c,game_free,SPEC_PSX/MALLOC.C,82,debugged,D;F;ND,mapped,0x8005f590,FUN_8005f590,56,1,0,no,yes,marqué ND; adresse Ghidra disponible; 1 caller(s); body_size 56,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
31,P0,1676,0x8005dcb4,0x8005d838,XAReplay,SPEC_PSXPC/CD.C,70,decompiled,,mapped,0x8005dcb4,FUN_8005dcb4,76,0,2,yes,no,chemin runtime/chargement/input; adresse Ghidra disponible; 2 callee(s); body_size 76; statut decompiled,"Comparer MIPS/Ghidra avec le chemin runtime documenté, puis tester build si possible."
32,P0,1400,0x80010000,0x80010000,VSyncFunc,SPEC_PSXPC_N/PSXMAIN.C,26,debugged,D;F;ND,repo_only,,,0,0,0,yes,yes,marqué ND; chemin runtime/chargement/input; repo-only: mapping à vérifier,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
33,P0,1220,0x80010000,0x80010000,VSyncFunc,SPEC_PSX/PSXMAIN.C,23,debugged,D;F;ND,repo_only,,,0,0,0,yes,yes,marqué ND; chemin runtime/chargement/input; repo-only: mapping à vérifier,"Vérifier comportement, retirer ND seulement avec preuve/debug documenté."
