priority_rank,bucket,score,final_psx_address,beta_psx_address,repo_function,file,line,status,markers,mapping_status,ghidra_entry,ghidra_name,body_size,caller_count,callee_count,runtime_focus,nd,reason,next_step
76,P1,2708,0x8004738c,0x80046f28,LaraGun,GAME/LARAFIRE.C,273,decompiled,,mapped,0x8004738c,FUN_8004738c,988,4,4,no,no,adresse Ghidra disponible; 4 caller(s); 4 callee(s); body_size 988; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
77,P1,2652,0x8004a020,0x80049bbc,CreateFlare,GAME/LARAFLAR.C,133,decompiled,,mapped,0x8004a020,FUN_8004a020,792,4,8,no,no,adresse Ghidra disponible; 4 caller(s); 8 callee(s); body_size 792; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
78,P1,2646,0x80078578,0x80076534,mPushUnitMatrix,SPEC_PSXPC_N/MATHS.C,280,decompiled,,mapped,0x80078578,FUN_80078578,36,13,0,no,no,adresse Ghidra disponible; 13 caller(s); body_size 36; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
79,P1,2621,0x8003fdf4,0x8003f9a0,use_current_item,GAME/NEWINV2.C,987,decompiled,,mapped,0x8003fdf4,FUN_8003fdf4,1296,1,3,no,no,adresse Ghidra disponible; 1 caller(s); 3 callee(s); body_size 1296; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
80,P1,2585,0x800137e8,0x80013738,LaraHangRightCornerTest,GAME/LARA.C,5272,decompiled,,mapped,0x800137e8,FUN_800137e8,1260,1,3,no,no,adresse Ghidra disponible; 1 caller(s); 3 callee(s); body_size 1260; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
81,P1,2573,0x80013cd4,0x80013c24,LaraHangLeftCornerTest,GAME/LARA.C,5266,decompiled,,mapped,0x80013cd4,FUN_80013cd4,1248,1,3,no,no,adresse Ghidra disponible; 1 caller(s); 3 callee(s); body_size 1248; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
82,P1,2568,0x8005a194,0x80059d18,FlameEmitterControl,GAME/TRAPS.C,317,decompiled,,mapped,0x8005a194,FUN_8005a194,1188,0,8,no,no,adresse Ghidra disponible; 8 callee(s); body_size 1188; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
83,P1,2554,0x8003a8cc,0x8003a3cc,DoFlameTorch,GAME/FLMTORCH.C,54,decompiled,,mapped,0x8003a8cc,FUN_8003a8cc,1124,1,6,no,no,adresse Ghidra disponible; 1 caller(s); 6 callee(s); body_size 1124; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
84,P1,2502,0x80029c58,0x80029a44,LaraBaddieCollision,GAME/COLLIDE.C,385,decompiled,,mapped,0x80029c58,FUN_80029c58,972,3,2,no,no,adresse Ghidra disponible; 3 caller(s); 2 callee(s); body_size 972; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
85,P1,2452,0x8002b478,0x8002b150,DoorCollision,GAME/DOOR.C,147,decompiled,,mapped,0x8002b478,FUN_8002b478,952,1,8,no,no,adresse Ghidra disponible; 1 caller(s); 8 callee(s); body_size 952; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
86,P1,2452,0x8004d198,0x8004cd34,LaraWaterCurrent,GAME/LARASWIM.C,27,decompiled,,mapped,0x8004d198,FUN_8004d198,972,2,4,no,no,adresse Ghidra disponible; 2 caller(s); 4 callee(s); body_size 972; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
87,P1,2427,0x80010064,0x80010064,main,SPEC_PSXPC/PSXPCMAIN.C,39,decompiled,,mapped,0x80010064,FUN_80010064,512,0,31,no,no,adresse Ghidra disponible; 31 callee(s); body_size 512; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
88,P1,2426,0x80078578,0x80076534,mPushUnitMatrix,SPEC_PSXPC/MATHS.C,179,decompiled,,mapped,0x80078578,FUN_80078578,36,13,0,no,no,adresse Ghidra disponible; 13 caller(s); body_size 36; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
89,P1,2414,0x80056910,0x80056470,SwitchCollision,GAME/SWITCH.C,346,decompiled,,mapped,0x80056910,FUN_80056910,1104,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 1104; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
90,P1,2363,0x8001763c,0x80017508,UpdateRopeSwing,GAME/LARA.C,3556,decompiled,,mapped,0x8001763c,FUN_8001763c,988,2,1,no,no,adresse Ghidra disponible; 2 caller(s); 1 callee(s); body_size 988; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
91,P1,2359,0x8007e5d0,0x8007c58c,UpdateLaraRoom,SPEC_PSXPC_N/COLLIDE_S.C,53,decompiled,,mapped,0x8007e5d0,FUN_8007e5d0,124,9,3,no,no,adresse Ghidra disponible; 9 caller(s); 3 callee(s); body_size 124; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
92,P1,2327,0x800510d8,0x80050c74,ShotLara,GAME/PEOPLE.C,19,decompiled,,mapped,0x800510d8,FUN_800510d8,912,0,9,no,no,adresse Ghidra disponible; 9 callee(s); body_size 912; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
93,P1,2318,0x800336b4,0x800331b4,TriggerWaterfallMist,GAME/EFFECT2.C,71,decompiled,,mapped,0x800336b4,FUN_800336b4,1028,1,2,no,no,adresse Ghidra disponible; 1 caller(s); 2 callee(s); body_size 1028; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
94,P1,2314,0x80057f6c,0x80057acc,CrowbarSwitchCollision,GAME/SWITCH.C,185,decompiled,,mapped,0x80057f6c,FUN_80057f6c,1004,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 1004; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
95,P1,2298,0x8002b09c,0x8002ad74,DoorControl,GAME/DOOR.C,231,decompiled,,mapped,0x8002b09c,FUN_8002b09c,988,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 988; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
96,P1,2272,0x8003adf4,0x8003a8f4,FlameTorchControl,GAME/FLMTORCH.C,30,decompiled,,mapped,0x8003adf4,FUN_8003adf4,892,0,8,no,no,adresse Ghidra disponible; 8 callee(s); body_size 892; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
97,P1,2252,0x80047d00,0x8004789c,LaraTargetInfo,GAME/LARAFIRE.C,206,decompiled,,mapped,0x80047d00,FUN_80047d00,652,3,4,no,no,adresse Ghidra disponible; 3 caller(s); 4 callee(s); body_size 652; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
98,P1,2233,0x8002a500,0x8002a2d8,ItemPushLaraStatic,GAME/COLLIDE.C,104,decompiled,,mapped,0x8002a500,FUN_8002a500,788,2,3,no,no,adresse Ghidra disponible; 2 caller(s); 3 callee(s); body_size 788; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
99,P1,2210,0x8003005c,0x8002fcdc,andrea2_control,GAME/DELTAPAK.C,1891,decompiled,,mapped,0x8003005c,FUN_8003005c,760,0,10,no,no,adresse Ghidra disponible; 10 callee(s); body_size 760; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
100,P1,2209,0x8004ce9c,0x8004ca38,GetWaterDepth,GAME/LARASWIM.C,32,decompiled,,mapped,0x8004ce9c,FUN_8004ce9c,764,2,3,no,no,adresse Ghidra disponible; 2 caller(s); 3 callee(s); body_size 764; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
101,P1,2176,0x800622c8,0x80061658,S_Death,SPEC_PSXPC/SPECIFIC.C,582,decompiled,,mapped,0x800622c8,FUN_800622c8,736,1,14,no,no,adresse Ghidra disponible; 1 caller(s); 14 callee(s); body_size 736; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
102,P1,2165,0x8003b268,0x8003ad68,DrawGameInfo,GAME/HEALTH.C,203,decompiled,,mapped,0x8003b268,FUN_8003b268,700,1,7,no,no,adresse Ghidra disponible; 1 caller(s); 7 callee(s); body_size 700; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
103,P1,2162,0x80078b38,0x80076af4,mSetTrans,SPEC_PSXPC_N/MATHS.C,1108,decompiled,,mapped,0x80078b38,FUN_80078b38,32,9,0,no,no,adresse Ghidra disponible; 9 caller(s); body_size 32; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
104,P1,2150,0x80033ab8,0x800335b8,TriggerDartSmoke,GAME/EFFECT2.C,66,decompiled,,mapped,0x80033ab8,FUN_80033ab8,740,2,2,no,no,adresse Ghidra disponible; 2 caller(s); 2 callee(s); body_size 740; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
105,P1,2131,0x80036c5c,0x8003675c,TriggerDebris,GAME/DEBRIS.C,49,decompiled,,mapped,0x80036c5c,FUN_80036c5c,736,1,5,no,no,adresse Ghidra disponible; 1 caller(s); 5 callee(s); body_size 736; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
106,P1,2122,0x800531b8,0x80052d54,SearchObjectControl,GAME/PICKUP.C,175,decompiled,,mapped,0x800531b8,FUN_800531b8,812,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 812; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
107,P1,2110,0x800587f4,0x80058354,CogSwitchCollision,GAME/SWITCH.C,161,decompiled,,mapped,0x800587f4,FUN_800587f4,800,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 800; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
108,P1,2108,0x8003a568,0x8003a068,FireCollision,GAME/FLMTORCH.C,59,decompiled,,mapped,0x8003a568,FUN_8003a568,868,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 868; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
109,P1,2107,0x800525ec,0x80052188,KeyHoleCollision,GAME/PICKUP.C,230,decompiled,,mapped,0x800525ec,FUN_800525ec,832,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 832; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
110,P1,2106,0x800534e4,0x80053080,SearchObjectCollision,GAME/PICKUP.C,170,decompiled,,mapped,0x800534e4,FUN_800534e4,796,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 796; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
111,P1,2098,0x80045f20,0x80045abc,LaraClimbLeftCornerTest,GAME/LARACLMB.C,866,decompiled,,mapped,0x80045f20,FUN_80045f20,808,1,2,no,no,adresse Ghidra disponible; 1 caller(s); 2 callee(s); body_size 808; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
112,P1,2097,0x80092e10,0x80090dcc,DrawCutSeqActors,SPEC_PSXPC_N/DELTAPAK_S.C,50,decompiled,,mapped,0x80092e10,FUN_80092e10,612,1,9,no,no,adresse Ghidra disponible; 1 caller(s); 9 callee(s); body_size 612; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
113,P1,2089,0x8005733c,0x80056e9c,TurnSwitchControl,GAME/SWITCH.C,322,decompiled,,mapped,0x8005733c,FUN_8005733c,884,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 884; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
114,P1,2086,0x80046248,0x80045de4,LaraClimbRightCornerTest,GAME/LARACLMB.C,663,decompiled,,mapped,0x80046248,FUN_80046248,796,1,2,no,no,adresse Ghidra disponible; 1 caller(s); 2 callee(s); body_size 796; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
115,P1,2053,0x8005c9e8,0x8005c56c,ControlRaisingBlock,GAME/TRAPS.C,648,decompiled,,mapped,0x8005c9e8,FUN_8005c9e8,848,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 848; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
116,P1,2041,0x80045c54,0x800457f0,LaraTestClimb,GAME/LARACLMB.C,872,decompiled,,mapped,0x80045c54,FUN_80045c54,716,1,3,no,no,adresse Ghidra disponible; 1 caller(s); 3 callee(s); body_size 716; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
117,P1,2041,0x8005bcd0,0x8005b854,DrawScaledSpike,GAME/TRAPS.C,511,decompiled,,mapped,0x8005bcd0,FUN_8005bcd0,556,0,11,no,no,adresse Ghidra disponible; 11 callee(s); body_size 556; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
118,P1,1983,0x8002aeb4,0x8002ab8c,OpenThatDoor,GAME/DOOR.C,236,decompiled,,mapped,0x8002aeb4,FUN_8002aeb4,488,3,1,no,no,adresse Ghidra disponible; 3 caller(s); 1 callee(s); body_size 488; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
119,P1,1963,0x8004d690,0x8004d22c,LaraTestWaterClimbOut,GAME/LARASURF.C,329,decompiled,,mapped,0x8004d690,FUN_8004d690,708,1,1,no,no,adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 708; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
120,P1,1961,0x80084684,0x80082640,CalcAllAnimatingItems_ASM,SPEC_PSXPC_N/ANIMITEM.C,2089,decompiled,,mapped,0x80084684,FUN_80084684,476,1,9,no,no,adresse Ghidra disponible; 1 caller(s); 9 callee(s); body_size 476; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
121,P1,1959,0x80062dc8,0x800626e4,DisplayFiles,SPEC_PSXPC_N/LOADSAVE.C,44,decompiled,,mapped,0x80062dc8,FUN_80062dc8,664,0,7,no,no,adresse Ghidra disponible; 7 callee(s); body_size 664; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
122,P1,1956,0x800595a8,0x8005912c,CeilingTrapDoorCollision,GAME/TRAPS.C,220,decompiled,,mapped,0x800595a8,FUN_800595a8,716,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 716; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
123,P1,1942,0x80078b38,0x80076af4,mSetTrans,SPEC_PSXPC/MATHS.C,420,decompiled,,mapped,0x80078b38,FUN_80078b38,32,9,0,no,no,adresse Ghidra disponible; 9 caller(s); body_size 32; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
124,P1,1932,0x8002b8c8,0x8002b5a0,PushPullKickDoorCollision,GAME/DOOR.C,122,decompiled,,mapped,0x8002b8c8,FUN_8002b8c8,692,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 692; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
125,P1,1927,0x8004a56c,0x8004a108,undraw_flare,GAME/LARAFLAR.C,54,decompiled,,mapped,0x8004a56c,FUN_8004a56c,652,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 652; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
126,P1,1927,0x80057b94,0x800576f4,RailSwitchCollision,GAME/SWITCH.C,197,decompiled,,mapped,0x80057b94,FUN_80057b94,652,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 652; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
127,P1,1925,0x80059f50,0x80059ad4,DartsControl,GAME/TRAPS.C,311,decompiled,,mapped,0x80059f50,FUN_80059f50,580,0,7,no,no,adresse Ghidra disponible; 7 callee(s); body_size 580; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
128,P1,1924,0x800592fc,0x80058e80,FloorTrapDoorCollision,GAME/TRAPS.C,214,decompiled,,mapped,0x800592fc,FUN_800592fc,684,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 684; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
129,P1,1909,0x800566dc,0x8005623c,SwitchControl,GAME/SWITCH.C,352,decompiled,,mapped,0x800566dc,FUN_800566dc,564,0,7,no,no,adresse Ghidra disponible; 7 callee(s); body_size 564; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
130,P1,1898,0x8002a814,0x8002a5ec,GenericSphereBoxCollision,GAME/COLLIDE.C,99,decompiled,,mapped,0x8002a814,FUN_8002a814,588,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 588; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
131,P1,1894,0x80059d08,0x8005988c,DartEmitterControl,GAME/TRAPS.C,305,decompiled,,mapped,0x80059d08,FUN_80059d08,584,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 584; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
132,P1,1856,0x8005d874,0x8005d3f8,ControlElectricalLight,GAME/OBJLIGHT.C,104,decompiled,,mapped,0x8005d874,FUN_8005d874,616,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 616; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
133,P1,1851,0x8002a024,0x80029e10,CreatureCollision,GAME/COLLIDE.C,380,decompiled,,mapped,0x8002a024,FUN_8002a024,576,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 576; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
134,P1,1848,0x8002c504,0x8002c1dc,CalcLaraMatrices,GAME/DELSTUFF.C,96,decompiled,,mapped,0x8002c504,FUN_8002c504,488,1,4,no,no,adresse Ghidra disponible; 1 caller(s); 4 callee(s); body_size 488; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
135,P1,1825,0x8004a87c,0x8004a418,FlareControl,GAME/LARAFLAR.C,25,decompiled,,mapped,0x8004a87c,FUN_8004a87c,620,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 620; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
136,P1,1825,0x80056ecc,0x80056a2c,UnderwaterSwitchCollision,GAME/SWITCH.C,334,decompiled,,mapped,0x80056ecc,FUN_80056ecc,620,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 620; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
137,P1,1823,0x80012028,0x80011f78,LaraTestClimbStance,GAME/LARA.C,6314,decompiled,,mapped,0x80012028,FUN_80012028,328,3,1,no,no,adresse Ghidra disponible; 3 caller(s); 1 callee(s); body_size 328; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
138,P1,1819,0x80058458,0x80057fb8,FullBlockSwitchCollision,GAME/SWITCH.C,173,decompiled,,mapped,0x80058458,FUN_80058458,544,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 544; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
139,P2,1798,0x8005c0f8,0x8005bc7c,ControlTwoBlockPlatform,GAME/TRAPS.C,556,decompiled,,mapped,0x8005c0f8,FUN_8005c0f8,488,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 488; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
140,P2,1784,0x8002dab8,0x8002d7d0,Load_and_Init_Cutseq,GAME/DELTAPAK.C,3221,decompiled,,mapped,0x8002dab8,FUN_8002dab8,284,1,8,no,no,adresse Ghidra disponible; 1 caller(s); 8 callee(s); body_size 284; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
141,P2,1779,0x80062dc8,0x800626e4,DisplayFiles,SPEC_PSX/LOADSAVE.C,44,decompiled,,mapped,0x80062dc8,FUN_80062dc8,664,0,7,no,no,adresse Ghidra disponible; 7 callee(s); body_size 664; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
142,P2,1776,0x80058be0,0x80058740,CrowDoveSwitchCollision,GAME/SWITCH.C,127,decompiled,,mapped,0x80058be0,FUN_80058be0,536,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 536; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
143,P2,1771,0x8002bd60,0x8002ba38,UnderwaterDoorCollision,GAME/DOOR.C,112,decompiled,,mapped,0x8002bd60,FUN_8002bd60,496,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 496; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
144,P2,1766,0x80079b30,0x80077aec,mQuickW2VMatrix,SPEC_PSXPC_N/MATHS.C,15,decompiled,,mapped,0x80079b30,FUN_80079b30,236,4,0,no,no,adresse Ghidra disponible; 4 caller(s); body_size 236; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
145,P2,1756,0x80057138,0x80056c98,PulleyCollision,GAME/SWITCH.C,328,decompiled,,mapped,0x80057138,FUN_80057138,516,0,4,no,no,adresse Ghidra disponible; 4 callee(s); body_size 516; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
146,P2,1753,0x8005fdd0,0x8005f0f0,GPU_BeginScene,SPEC_PSXPC_N/MISC.C,249,decompiled,,mapped,0x8005fdd0,FUN_8005fdd0,68,5,1,no,no,adresse Ghidra disponible; 5 caller(s); 1 callee(s); body_size 68; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
147,P2,1750,0x80063060,0x8006297c,LoadGame,SPEC_PSXPC_N/LOADSAVE.C,119,decompiled,,mapped,0x80063060,FUN_80063060,320,2,4,no,no,adresse Ghidra disponible; 2 caller(s); 4 callee(s); body_size 320; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
148,P2,1742,0x8008ff20,0x8008dedc,GetStringLength,SPEC_PSXPC_N/TEXT_S.C,401,decompiled,,mapped,0x8008ff20,FUN_8008ff20,332,3,0,no,no,adresse Ghidra disponible; 3 caller(s); body_size 332; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
149,P2,1739,0x80062dc8,0x800626e4,DisplayFiles,SPEC_PSXPC/LOADSAVE.C,35,decompiled,,mapped,0x80062dc8,FUN_80062dc8,664,0,7,no,no,adresse Ghidra disponible; 7 callee(s); body_size 664; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
150,P2,1727,0x80051664,0x80051200,FindPlinth,GAME/PICKUP.C,319,decompiled,,mapped,0x80051664,FUN_80051664,592,0,1,no,no,adresse Ghidra disponible; 1 callee(s); body_size 592; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
151,P2,1717,0x80039c38,0x80039738,ResetTest,GAME/EFFECTS.C,324,decompiled,,mapped,0x80039c38,FUN_80039c38,512,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 512; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
152,P2,1705,0x8008c968,0x8008a924,DrawGunflashes,GAME/DRAW.C,202,decompiled,,mapped,0x8008c968,FUN_8008c968,240,1,7,no,no,adresse Ghidra disponible; 1 caller(s); 7 callee(s); body_size 240; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
153,P2,1695,0x8002c110,0x8002bde8,ProcessClosedDoors,GAME/DOOR.C,43,decompiled,,mapped,0x8002c110,FUN_8002c110,440,1,1,no,no,adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 440; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
154,P2,1689,0x8002bb7c,0x8002b854,DoubleDoorCollision,GAME/DOOR.C,117,decompiled,,mapped,0x8002bb7c,FUN_8002bb7c,484,0,3,no,no,adresse Ghidra disponible; 3 callee(s); body_size 484; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
155,P2,1674,0x80049de8,0x80049984,DoFlareInHand,GAME/LARAFLAR.C,143,decompiled,,mapped,0x80049de8,FUN_80049de8,264,2,2,no,no,adresse Ghidra disponible; 2 caller(s); 2 callee(s); body_size 264; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
156,P2,1663,0x8002a368,0x8002a140,TestBoundsCollideStatic,GAME/COLLIDE.C,341,decompiled,,mapped,0x8002a368,FUN_8002a368,408,1,1,no,no,adresse Ghidra disponible; 1 caller(s); 1 callee(s); body_size 408; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
157,P2,1659,0x800485b4,0x80048150,find_target_point,GAME/LARAFIRE.C,196,decompiled,,mapped,0x800485b4,FUN_800485b4,284,2,1,no,no,adresse Ghidra disponible; 2 caller(s); 1 callee(s); body_size 284; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
158,P2,1639,0x80056d60,0x800568c0,SwitchCollision2,GAME/SWITCH.C,340,decompiled,,mapped,0x80056d60,FUN_80056d60,364,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 364; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
159,P2,1639,0x80059b9c,0x80059720,FallingCeiling,GAME/TRAPS.C,297,decompiled,,mapped,0x80059b9c,FUN_80059b9c,364,0,5,no,no,adresse Ghidra disponible; 5 callee(s); body_size 364; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
160,P2,1632,0x80060130,0x8005f450,CreateMonoScreen,SPEC_PSXPC/3D_OBJ.C,9,decompiled,,mapped,0x80060130,FUN_80060130,472,1,6,no,no,adresse Ghidra disponible; 1 caller(s); 6 callee(s); body_size 472; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
161,P2,1614,0x80049ef0,0x80049a8c,DrawFlareInAir,GAME/LARAFLAR.C,138,decompiled,,mapped,0x80049ef0,FUN_80049ef0,304,0,6,no,no,adresse Ghidra disponible; 6 callee(s); body_size 304; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
162,P2,1600,0x8002adb0,0x8002aa88,ShutThatDoor,GAME/DOOR.C,241,decompiled,,mapped,0x8002adb0,FUN_8002adb0,260,2,0,no,no,adresse Ghidra disponible; 2 caller(s); body_size 260; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
163,P2,1588,0x8004e794,0x8004e330,CreateZone,GAME/LOT.C,21,decompiled,,mapped,0x8004e794,FUN_8004e794,368,1,0,no,no,adresse Ghidra disponible; 1 caller(s); body_size 368; statut decompiled,"Comparer Ghidra/MIPS, valider types/bit-fields, puis décider F ou D."
